CNA,ErrorCode,ErrorName,ErrorCount
imaginationtech,E007,check-invalid-version-string,103
intel,E002,check-duplicate-reference-url,22
intel,E004,check-leading-trailing-space,5
intel,E007,check-invalid-version-string,1917
intel,E008,check-invalid-vendor-string,1669
intel,E009,check-invalid-product-string,20
isc,E007,check-invalid-version-string,119
isc,E008,check-invalid-vendor-string,1
isc,E009,check-invalid-product-string,1
ivanti,E007,check-invalid-version-string,83
jci,E002,check-duplicate-reference-url,1
jci,E004,check-leading-trailing-space,3
jci,E006,check-affected-product-present,4
jci,E007,check-invalid-version-string,48
jci,E008,check-invalid-vendor-string,1
jci,E009,check-invalid-product-string,1
jenkins,E007,check-invalid-version-string,707
jenkins,E008,check-invalid-vendor-string,1
jenkins,E009,check-invalid-product-string,1
joshbressers,E007,check-invalid-version-string,2
joshbressers,E008,check-invalid-vendor-string,1
joshbressers,E009,check-invalid-product-string,1
jpcert,E004,check-leading-trailing-space,11
jpcert,E007,check-invalid-version-string,4658
jpcert,E008,check-invalid-vendor-string,794
jpcert,E009,check-invalid-product-string,794
juniper,E002,check-duplicate-reference-url,1
juniper,E004,check-leading-trailing-space,72
juniper,E006,check-affected-product-present,2
juniper,E007,check-invalid-version-string,2108
juniper,E008,check-invalid-vendor-string,11
juniper,E009,check-invalid-product-string,11
krcert,E004,check-leading-trailing-space,9
krcert,E007,check-invalid-version-string,73
kubernetes,E004,check-leading-trailing-space,1
kubernetes,E007,check-invalid-version-string,85
larry_cashdollar,E007,check-invalid-version-string,1
larry_cashdollar,E008,check-invalid-vendor-string,3
larry_cashdollar,E009,check-invalid-product-string,1
lenovo,E004,check-leading-trailing-space,53
lenovo,E007,check-invalid-version-string,870
lenovo,E008,check-invalid-vendor-string,1
microfocus,E007,check-invalid-version-string,376
microfocus,E008,check-invalid-vendor-string,209
microfocus,E009,check-invalid-product-string,109
microsoft,E002,check-duplicate-reference-url,212
microsoft,E004,check-leading-trailing-space,440
microsoft,E007,check-invalid-version-string,36276
microsoft,E008,check-invalid-vendor-string,2918
microsoft,E009,check-invalid-product-string,2913
mitre,E002,check-duplicate-reference-url,1096
mitre,E007,check-invalid-version-string,108574
mitre,E008,check-invalid-vendor-string,108553
mitre,E009,check-invalid-product-string,108553
mitre,E010,check-invalid-self-references,164
mongodb,E004,check-leading-trailing-space,11
mongodb,E007,check-invalid-version-string,2
mozilla,E004,check-leading-trailing-space,6
mozilla,E007,check-invalid-version-string,778
mozilla,E008,check-invalid-vendor-string,607
mozilla,E009,check-invalid-product-string,601
mozilla,E010,check-invalid-self-references,1
naver,E007,check-invalid-version-string,1
netapp,E004,check-leading-trailing-space,12
netapp,E007,check-invalid-version-string,103
netapp,E008,check-invalid-vendor-string,63
netflix,E007,check-invalid-version-string,10
netflix,E008,check-invalid-vendor-string,9
netgear,E007,check-invalid-version-string,6
netgear,E008,check-invalid-vendor-string,1
nodejs,E007,check-invalid-version-string,30
nvidia,E004,check-leading-trailing-space,24
nvidia,E007,check-invalid-version-string,566
nvidia,E008,check-invalid-vendor-string,32
nvidia,E009,check-invalid-product-string,4
obdev,E007,check-invalid-version-string,5
obdev,E008,check-invalid-vendor-string,4
openEuler,E004,check-leading-trailing-space,12
openEuler,E007,check-invalid-version-string,38
openEuler,E008,check-invalid-vendor-string,21
openEuler,E009,check-invalid-product-string,1
openssl,E004,check-leading-trailing-space,1
openssl,E007,check-invalid-version-string,64
oracle,E002,check-duplicate-reference-url,683
oracle,E007,check-invalid-version-string,5869
oracle,E008,check-invalid-vendor-string,3301
oracle,E009,check-invalid-product-string,3291
palo_alto,E004,check-leading-trailing-space,9
palo_alto,E007,check-invalid-version-string,171
palo_alto,E008,check-invalid-vendor-string,16
php,E004,check-leading-trailing-space,3
php,E007,check-invalid-version-string,14
pivotal,E007,check-invalid-version-string,18
puppet,E004,check-leading-trailing-space,2
puppet,E007,check-invalid-version-string,67
puppet,E008,check-invalid-vendor-string,22
puppet,E009,check-invalid-product-string,3
qnap,E004,check-leading-trailing-space,99
qnap,E007,check-invalid-version-string,645
qnap,E008,check-invalid-vendor-string,17
qnap,E009,check-invalid-product-string,4
qualcomm,E007,check-invalid-version-string,21717
qualcomm,E008,check-invalid-vendor-string,123
qualcomm,E009,check-invalid-product-string,124
rapid7,E004,check-leading-trailing-space,23
rapid7,E007,check-invalid-version-string,63
rapid7,E008,check-invalid-vendor-string,2
rapid7,E009,check-invalid-product-string,2
redhat,E002,check-duplicate-reference-url,675
redhat,E006,check-affected-product-present,26
redhat,E007,check-invalid-version-string,9488
redhat,E008,check-invalid-vendor-string,8406
redhat,E009,check-invalid-product-string,6771
samsung.tv_appliance,E004,check-leading-trailing-space,3
samsung.tv_appliance,E006,check-affected-product-present,1
sap,E002,check-duplicate-reference-url,1
sap,E004,check-leading-trailing-space,217
sap,E006,check-affected-product-present,1
sap,E007,check-invalid-version-string,3751
sap,E008,check-invalid-vendor-string,4
sap,E009,check-invalid-product-string,4
